BRIDGE_ACTOR_ID,FILM_RANK,ACTOR_ID
0,1,292
1,1,1586
2,1,212
3,1,1632
4,2,1199
5,2,985
6,2,1103
7,2,276
8,3,658
9,3,137
10,3,580
11,3,735
12,4,1067
13,4,1290
14,4,1423
15,4,1404
16,5,1608
17,5,676
18,5,1029
19,5,1594
20,6,1058
21,6,1528
22,6,1610
23,6,97
24,7,1362
25,7,488
26,7,1345
27,7,627
28,9,274
29,9,1327
30,9,1443
31,9,1550
32,10,714
33,10,292
34,10,1116
35,10,947
36,11,446
37,11,866
38,11,64
39,11,352
40,12,1499
41,12,1203
42,12,671
43,12,895
44,13,516
45,13,410
46,13,36
47,13,424
48,14,161
49,14,435
50,14,1271
51,14,1507
52,15,118
53,15,690
54,15,164
55,15,1534
56,16,990
57,16,496
58,16,897
59,16,932
60,17,92
61,17,1384
62,17,1000
63,17,1510
64,18,1058
65,18,1555
66,18,61
67,18,1588
68,19,403
69,19,1192
70,19,1338
71,19,1482
72,20,80
73,20,722
74,20,520
75,20,1117
76,21,1067
77,21,447
78,21,244
79,21,331
80,22,262
81,22,1125
82,22,926
83,22,993
84,24,113
85,24,841
86,24,1634
87,24,309
88,25,966
89,25,700
90,25,194
91,25,1021
92,29,1131
93,29,869
94,29,917
95,29,301
96,30,1103
97,30,1037
98,30,720
99,30,219
100,31,1633
101,31,652
102,31,1496
103,31,267
104,32,80
105,32,646
106,32,1115
107,32,7
108,33,658
109,33,1103
110,33,714
111,33,1181
112,34,1366
113,34,1152
114,34,1489
115,34,442
116,35,1135
117,35,605
118,35,55
119,35,1435
120,36,286
121,36,1322
122,36,1404
123,36,1419
124,37,1067
125,37,118
126,37,732
127,37,1011
128,38,183
129,38,282
130,38,1273
131,38,184
132,39,398
133,39,292
134,39,501
135,39,1589
136,41,1424
137,41,920
138,41,787
139,41,65
140,42,1020
141,42,1432
142,42,430
143,42,45
144,44,1106
145,44,1186
146,44,764
147,44,978
148,45,534
149,45,395
150,45,1519
151,45,1560
152,46,781
153,46,1249
154,46,608
155,46,553
156,47,732
157,47,1041
158,47,573
159,47,1117
160,49,291
161,49,1629
162,49,853
163,49,1632
164,51,341
165,51,761
166,51,1222
167,51,415
168,52,855
169,52,1518
170,52,1541
171,52,933
172,53,709
173,53,858
174,53,821
175,53,690
176,54,875
177,54,1110
178,54,52
179,54,1610
180,55,295
181,55,589
182,55,4
183,55,1097
184,56,92
185,56,14
186,56,968
187,56,1492
188,57,1463
189,57,669
190,57,436
191,57,365
192,58,476
193,58,1378
194,58,672
195,58,270
196,59,548
197,59,1378
198,59,192
199,59,630
200,60,1547
201,60,4
202,60,939
203,60,1576
204,61,175
205,61,595
206,61,80
207,61,726
208,63,479
209,63,578
210,63,1287
211,63,840
212,64,345
213,64,665
214,64,711
215,64,473
216,65,295
217,65,601
218,65,1404
219,65,1097
220,66,320
221,66,1501
222,66,1388
223,66,1097
224,67,1042
225,67,1122
226,67,627
227,67,771
228,68,1548
229,68,276
230,68,1181
231,68,1635
232,69,242
233,69,712
234,69,188
235,69,686
236,70,1042
237,70,925
238,70,428
239,70,651
240,72,211
241,72,1037
242,72,675
243,72,1590
244,73,964
245,73,1444
246,73,516
247,73,1543
248,74,1608
249,74,451
250,74,862
251,74,1112
252,75,565
253,75,679
254,75,612
255,75,718
256,76,781
257,76,1220
258,76,878
259,76,553
260,77,1322
261,77,286
262,77,1404
263,77,722
264,78,211
265,78,405
266,78,454
267,78,1157
268,79,781
269,79,1220
270,79,878
271,79,629
272,80,1089
273,80,920
274,80,860
275,80,960
276,81,957
277,81,802
278,81,471
279,81,887
280,82,1584
281,82,556
282,82,1385
283,82,116
284,83,957
285,83,787
286,83,1029
287,83,1067
288,84,175
289,84,1341
290,84,1174
291,84,1570
292,85,1586
293,85,1243
294,85,435
295,85,689
296,86,292
297,86,244
298,86,1566
299,86,819
300,87,175
301,87,468
302,87,219
303,87,290
304,88,1384
305,88,1632
306,88,1444
307,88,1124
308,89,1388
309,89,925
310,89,713
311,89,1595
312,90,175
313,90,113
314,90,627
315,90,783
316,91,601
317,91,646
318,91,1594
319,91,1088
320,92,1564
321,92,1245
322,92,177
323,92,416
324,93,488
325,93,1594
326,93,1203
327,93,244
328,94,787
329,94,1134
330,94,1469
331,94,570
332,95,1322
333,95,286
334,95,1039
335,95,288
336,96,1358
337,96,1362
338,96,106
339,96,1057
340,97,1369
341,97,1150
342,97,1368
343,97,138
344,98,6
345,98,889
346,98,360
347,98,867
348,99,919
349,99,935
350,99,1445
351,99,86
352,100,957
353,100,1058
354,100,632
355,100,1042
356,101,1548
357,101,480
358,101,1501
359,101,1233
360,102,288
361,102,127
362,102,1165
363,102,1549
364,103,1058
365,103,732
366,103,920
367,103,859
368,105,595
369,105,144
370,105,61
371,105,461
372,106,291
373,106,177
374,106,697
375,106,562
376,107,1321
377,107,961
378,107,370
379,107,448
380,108,47
381,108,1340
382,108,299
383,108,303
384,110,61
385,110,415
386,110,1222
387,110,1453
388,111,770
389,111,1559
390,111,21
391,111,762
392,112,282
393,112,1107
394,112,1103
395,112,211
396,114,557
397,114,955
398,114,388
399,114,417
400,115,364
401,115,490
402,115,1356
403,115,1104
404,116,679
405,116,1213
406,116,1489
407,116,709
408,117,468
409,117,302
410,117,875
411,117,852
412,119,771
413,119,1050
414,119,770
415,119,428
416,120,470
417,120,37
418,120,440
419,120,844
420,121,503
421,121,151
422,121,1388
423,121,817
424,122,1429
425,122,1518
426,122,862
427,122,643
428,123,1623
429,123,13
430,123,113
431,123,158
432,125,295
433,125,1548
434,125,118
435,125,545
436,126,1172
437,126,191
438,126,178
439,126,612
440,127,1042
441,127,1189
442,127,634
443,127,1458
444,128,487
445,128,378
446,128,481
447,128,1133
448,129,1090
449,129,1258
450,129,74
451,129,1460
452,130,957
453,130,1548
454,130,1607
455,130,415
456,131,398
457,131,1594
458,131,1462
459,131,814
460,132,113
461,132,1090
462,132,291
463,132,479
464,133,202
465,133,1637
466,133,105
467,133,221
468,134,1134
469,134,627
470,134,1087
471,134,1240
472,135,1586
473,135,1243
474,135,435
475,135,1124
476,136,1362
477,136,212
478,136,504
479,136,338
480,137,1555
481,137,692
482,137,805
483,137,1617
484,138,957
485,138,256
486,138,755
487,138,1540
488,139,957
489,139,482
490,139,1039
491,139,178
492,141,291
493,141,1629
494,141,1448
495,141,956
496,142,1627
497,142,1319
498,142,1268
499,142,1472
500,143,295
501,143,1467
502,143,1362
503,143,211
504,144,229
505,144,639
506,144,1413
507,144,1599
508,145,666
509,145,303
510,145,957
511,145,892
512,146,1137
513,146,834
514,146,744
515,146,1451
516,147,577
517,147,580
518,147,201
519,147,929
520,148,637
521,148,1231
522,148,257
523,148,1023
524,149,1098
525,149,787
526,149,309
527,149,190
528,150,1547
529,150,516
530,150,617
531,150,177
532,151,1040
533,151,1350
534,151,1247
535,151,704
536,152,714
537,152,809
538,152,966
539,152,1458
540,153,1154
541,153,226
542,153,837
543,153,23
544,154,479
545,154,805
546,154,185
547,154,783
548,156,1292
549,156,1474
550,156,1431
551,156,777
552,157,612
553,157,274
554,157,1311
555,157,273
556,158,1467
557,158,1362
558,158,827
559,158,488
560,159,1098
561,159,1050
562,159,905
563,159,63
564,160,1448
565,160,1183
566,160,1044
567,160,192
