BRIDGE_GENRE_ID,FILM_RANK,GENRE_ID
0,1,0
1,1,1
2,1,15
3,2,1
4,2,13
5,2,15
6,3,10
7,3,17
8,4,2
9,4,4
10,4,7
11,5,0
12,5,1
13,5,8
14,6,0
15,6,1
16,6,8
17,7,4
18,7,6
19,7,11
20,9,0
21,9,1
22,9,3
23,10,1
24,10,6
25,10,14
26,11,1
27,11,7
28,11,8
29,12,3
30,12,6
31,12,9
32,13,0
33,13,1
34,13,15
35,14,2
36,14,1
37,14,4
38,15,0
39,15,4
40,15,6
41,16,2
42,16,1
43,16,4
44,17,3
45,17,6
46,17,9
47,18,0
48,18,17
49,19,3
50,19,6
51,20,6
52,20,13
53,20,15
54,21,1
55,21,6
56,21,17
57,22,6
58,24,2
59,24,1
60,24,4
61,25,0
62,25,1
63,25,15
64,29,4
65,30,0
66,30,1
67,30,6
68,31,4
69,32,6
70,32,17
71,33,0
72,33,1
73,33,15
74,34,0
75,34,1
76,34,4
77,35,0
78,35,10
79,35,15
80,36,0
81,36,1
82,36,15
83,37,1
84,37,6
85,37,15
86,38,0
87,38,1
88,38,8
89,39,0
90,39,1
91,39,19
92,41,2
93,41,1
94,41,4
95,42,6
96,44,3
97,44,6
98,44,9
99,45,6
100,46,0
101,46,1
102,46,8
103,47,6
104,47,17
105,49,0
106,49,1
107,49,15
108,51,0
109,51,1
110,51,8
111,52,0
112,52,1
113,52,8
114,53,4
115,53,6
116,54,0
117,54,5
118,54,17
119,55,0
120,55,5
121,55,6
122,56,1
123,56,6
124,56,9
125,57,5
126,57,10
127,57,17
128,58,6
129,58,14
130,59,4
131,59,6
132,59,14
133,60,3
134,60,6
135,61,0
136,61,1
137,61,15
138,63,5
139,63,6
140,63,13
141,64,6
142,64,14
143,64,17
144,65,6
145,65,13
146,65,15
147,66,0
148,66,1
149,66,4
150,67,6
151,67,9
152,67,17
153,68,0
154,68,1
155,68,15
156,69,6
157,70,0
158,70,6
159,70,17
160,72,0
161,72,6
162,72,14
163,73,6
164,73,8
165,74,6
166,74,14
167,75,2
168,75,1
169,75,4
170,76,0
171,76,1
172,76,8
173,77,0
174,77,15
175,78,1
176,78,6
177,78,18
178,79,0
179,79,1
180,79,8
181,80,0
182,80,4
183,80,8
184,81,0
185,81,1
186,81,15
187,82,4
188,82,6
189,83,3
190,83,4
191,83,5
192,84,5
193,84,6
194,84,13
195,85,0
196,85,5
197,85,17
198,86,0
199,86,1
200,86,15
201,87,5
202,87,6
203,88,0
204,88,1
205,88,8
206,89,5
207,89,6
208,89,13
209,90,0
210,90,5
211,90,6
212,91,5
213,91,6
214,91,13
215,92,0
216,92,1
217,92,8
218,93,6
219,94,4
220,94,5
221,94,6
222,95,0
223,95,1
224,95,15
225,96,0
226,96,4
227,96,5
228,97,2
229,97,6
230,97,8
231,98,10
232,98,13
233,98,15
234,99,6
235,99,13
236,99,17
237,100,5
238,100,6
239,100,17
240,101,3
241,101,5
242,101,6
243,102,0
244,102,1
245,102,8
246,103,1
247,103,6
248,103,15
249,105,0
250,105,1
251,105,4
252,106,5
253,106,6
254,106,17
255,107,4
256,108,0
257,108,1
258,108,6
259,110,6
260,110,13
261,110,15
262,111,0
263,111,10
264,111,17
265,112,3
266,112,6
267,112,9
268,114,0
269,114,8
270,114,18
271,115,1
272,115,6
273,115,8
274,116,4
275,117,10
276,117,17
277,119,6
278,119,10
279,119,13
280,120,2
281,120,1
282,120,4
283,121,1
284,121,6
285,121,7
286,122,1
287,122,13
288,122,15
289,123,1
290,123,4
291,123,14
292,125,0
293,125,17
294,126,1
295,126,6
296,126,7
297,127,0
298,127,1
299,127,15
300,128,1
301,128,5
302,128,13
303,129,4
304,129,7
305,129,12
306,130,1
307,130,6
308,130,17
309,131,6
310,132,1
311,132,4
312,132,6
313,133,6
314,133,10
315,133,17
316,134,6
317,134,11
318,135,0
319,135,5
320,135,17
321,136,5
322,136,6
323,136,17
324,137,5
325,137,6
326,137,17
327,138,6
328,138,14
329,139,13
330,139,17
331,141,0
332,141,1
333,141,15
334,142,4
335,142,7
336,143,3
337,143,4
338,143,6
339,144,6
340,145,6
341,145,19
342,146,6
343,146,13
344,146,14
345,147,4
346,147,6
347,148,0
348,148,6
349,148,13
350,149,4
351,150,0
352,150,1
353,150,5
354,151,1
355,151,7
356,151,8
357,152,1
358,152,15
359,152,17
360,153,6
361,154,0
362,154,5
363,154,6
364,156,0
365,156,10
366,156,15
367,157,0
368,157,1
369,157,15
370,158,4
371,158,6
372,158,14
373,159,0
374,159,4
375,159,8
376,160,0
377,160,4
378,160,13
379,162,0
380,162,4
381,162,5
382,163,0
383,163,1
384,163,15
385,164,0
386,164,1
387,164,5
388,165,0
389,165,1
390,165,17
391,166,6
392,166,8
393,166,14
394,167,0
395,167,1
396,167,4
397,168,3
398,168,6
399,168,9
400,169,0
401,169,6
402,169,9
403,170,0
404,170,1
405,170,17
406,171,5
407,171,6
408,171,17
409,172,2
410,172,1
411,172,7
412,174,6
413,174,14
414,174,15
415,175,2
416,175,1
417,175,4
418,176,0
419,176,1
420,176,7
421,177,0
422,177,1
423,177,6
424,178,0
425,178,4
426,179,10
427,179,13
428,179,17
429,180,0
430,180,1
431,180,4
432,181,4
433,181,14
434,182,10
435,182,13
436,183,6
437,183,7
438,183,8
439,185,6
440,185,17
441,187,6
442,187,18
443,188,6
444,188,8
445,188,10
446,189,5
447,189,6
448,190,4
449,190,6
450,190,14
451,191,6
452,191,14
453,193,5
454,193,6
455,193,9
456,194,10
457,194,15
458,194,17
459,195,0
460,195,6
461,195,16
462,196,0
463,196,1
464,196,15
465,198,1
466,198,3
467,198,6
468,199,3
469,199,6
470,199,17
471,200,0
472,200,4
473,200,5
474,201,0
475,201,1
476,201,15
477,202,6
478,202,8
479,202,10
480,203,3
481,203,6
482,203,17
483,204,0
484,204,1
485,204,15
486,205,0
487,205,1
488,205,13
489,206,0
490,206,1
491,206,15
492,207,6
493,207,10
494,208,4
495,208,6
496,208,14
497,209,4
498,209,14
499,211,0
500,211,1
501,211,6
502,212,6
503,213,0
504,213,1
505,213,15
506,215,0
507,215,1
508,215,8
509,216,0
510,216,1
