ACTOR_ID,ACTOR_NAME
0,50 Cent
1,AJ Michalka
2,Aamir Khan
3,Aaron Burns
4,Aaron Eckhart
5,Aaron Paul
6,Aaron Poole
7,Aaron Taylor-Johnson
8,Aaron Yoo
9,Aasif Mandvi
10,Abbie Cornish
11,Abigail Breslin
12,Adam Brody
13,Adam Devine
14,Adam Driver
15,Adam G. Sevani
16,Adam Levine
17,Adam Sandler
18,Adelaide Kane
19,Adewale Akinnuoye-Agbaje
20,Adil Hussain
21,Adria Arjona
22,Adrian Grenier
23,Adrian Martinez
24,Adrian Titieni
25,Adrianne Palicki
26,Adrien Brody
27,Adèle Exarchopoulos
28,Aidan Gillen
29,Aidan Quinn
30,Akihiro Kitamura
31,Akiva Schaffer
32,Alain Moussi
33,Alan Alda
34,Alan Arkin
35,Alan Rickman
36,Alan Tudyk
37,Albert Brooks
38,Albert Finney
39,Alden Ehrenreich
40,Aldis Hodge
41,Alec Baldwin
42,Aleksandr Armer
43,Alex Fisher
44,Alex Pettyfer
45,Alex R. Hibbert
46,Alexander Black
47,Alexander Skarsgård
48,Alexandra Daddario
49,Alexandra Maria Lara
50,Alexis Clagett
51,Alexis Dziena
52,Alfie Allen
53,Alfre Woodard
54,Alfred Molina
55,Ali Larter
56,Alia Bhatt
57,Alia Shawkat
58,Alice Braga
59,Alice Englert
60,Alice Eve
61,Alicia Vikander
62,Alison Brie
63,Alison Pill
64,Alison Sudol
65,Alistair Abell
66,Allen Leech
67,Allison Janney
68,Allison Tolman
69,Alycia Debnam-Carey
70,Alyson Hannigan
71,Amanda Bynes
72,Amanda Peet
73,Amanda Righetti
74,Amanda Seyfried
75,Amara Miller
76,Amber Heard
77,Amber Tamblyn
78,America Ferrera
79,Amr Waked
80,Amy Adams
81,Amy Poehler
82,Amy Ryan
83,Amy Schumer
84,Ana de Armas
85,Analeigh Tipton
86,Anders Danielsen Lie
87,Anders Holm
88,Andie MacDowell
89,Andre Braugher
90,Andrea Riseborough
91,Andreas Wisniewski
92,Andrew Garfield
93,Andrew Howard
94,Andrew Scott
95,André Marcon
96,Andy Garcia
97,Andy Lau
98,Andy Powers
99,Andy Samberg
100,Andy Serkis
101,Ang Phula Sherpa
102,Angela Bassett
103,Angeliki Papoulia
104,Angelina Jolie
105,Angelo Josue Lozano Corzo
106,Angourie Rice
107,Anika Noni Rose
108,Anil Kapoor
109,Anna Camp
110,Anna Faris
111,Anna Friel
112,Anna Hutchison
113,Anna Kendrick
114,AnnaSophia Robb
115,Annabelle Wallis
116,Annalise Basso
117,Anne Dorval
118,Anne Hathaway
119,Anne Le Ny
120,Annette Bening
121,Annie Rose Buckley
122,Annika Wedderkopp
123,Ansel Elgort
124,Anthony Anderson
125,Anthony Cirillo
126,Anthony Edwards
127,Anthony Hopkins
128,Anthony Mackie
129,Antje Traue
130,Antoine-Olivier Pilon
131,Anton Adasinsky
132,Anton Yelchin
133,Antonia Ribero
134,Antonio Banderas
135,Antonio Tarver
136,Anushka Sharma
137,Anya Taylor-Joy
138,Aoi Yuki
139,Ari Graynor
140,Ariadna Gil
141,Ariel Levy
142,Arielle Holmes
143,Arlen Escarpeta
144,Armie Hammer
