DIRECTOR_ID,DIRECTOR_NAME
0,Aamir Khan
1,Abdellatif Kechiche
2,Adam McKay
3,Adam Shankman
4,Adam Wingard
5,Akiva Schaffer
6,Alan Taylor
7,Albert Hughes
8,Alejandro Amenábar
9,Alejandro González Iñárritu
10,Alessandro Carloni
11,Alex Garland
12,Alex Proyas
13,Alexander Payne
14,Alexandre Aja
15,Alfonso Cuarón
16,Alfonso Gomez-Rejon
17,Allen Coulter
18,Amma Asante
19,Andrea Arnold
20,Andrew Dominik
21,Andrew Jarecki
22,Andrew Niccol
23,Andrew Stanton
24,Andrey Kravchuk
25,Andrés Muschietti
26,Andy Fickman
27,Andy Goddard
28,Andy Tennant
29,Ang Lee
30,Angelina Jolie
31,Anna Biller
32,Anna Foerster
33,Anne Fletcher
34,Anne Fontaine
35,Anthony Russo
36,Antoine Fuqua
37,Antonio Campos
38,Ari Sandel
39,Ariel Vromen
40,Asger Leth
41,Asghar Farhadi
42,Ash Brannon
43,Babak Najafi
44,Baltasar Kormákur
45,Barry Jenkins
46,Barry Sonnenfeld
47,Baz Luhrmann
48,Ben Affleck
49,Ben Falcone
50,Ben Stiller
51,Ben Wheatley
52,Ben Younger
53,Bennett Miller
54,Bill Condon
55,Biyi Bandele
56,Boaz Yakin
57,Bobby Farrelly
58,Bong Joon Ho
59,Brad Bird
60,Brad Furman
61,Brad Peyton
62,Breck Eisner
63,Brett Ratner
64,Brian Helgeland
65,Bruce A. Evans
66,Bruce Beresford
67,Bryan Bertino
68,Bryan Singer
69,Burr Steers
70,Byron Howard
71,Carlos Saldanha
72,Cary Joji Fukunaga
73,Catherine Hardwicke
74,Cedric Nicolas-Troyan
75,Chad Stahelski
76,Chan-wook Park
77,Chris Buck
78,Chris Columbus
79,Chris Evans
80,Chris Renaud
81,Chris Wedge
82,Chris Weitz
83,Christian Alvart
84,Christian Ditter
85,Christophe Lourdelet
86,Christopher Landon
87,Christopher McQuarrie
88,Christopher Nolan
89,Claude Barras
90,Clint Eastwood
91,Colin Strause
92,Colin Trevorrow
93,Craig Brewer
94,Craig Gillespie
95,Cristian Mungiu
96,D.J. Caruso
97,Damien Chazelle
98,Damián Szifron
99,Dan Bradley
100,Dan Gilroy
101,Dan Kwan
102,Dan Mazer
103,Dan Scanlon
104,Dan Trachtenberg
105,Daniel Espinosa
106,Danny Boyle
107,Darren Aronofsky
108,Dave Green
109,David Ayer
110,David Bowers
111,David Cronenberg
112,David Dobkin
113,David F. Sandberg
114,David Fincher
115,David Frankel
116,David Gordon Green
117,David Lowery
118,David Mackenzie
119,David O. Russell
120,David R. Ellis
121,David Robert Mitchell
122,David Ross
123,David Schwimmer
124,David Slade
125,David Twohy
126,David Yates
127,Dean DeBlois
128,Denis Villeneuve
129,Dennis Dugan
130,Dennis Gansel
131,Denzel Washington
132,Derek Cianfrance
133,Dexter Fletcher
134,Don Hall
135,Doug Ellin
136,Doug Liman
137,Drake Doremus
138,Drew Goddard
139,Duncan Jones
140,Edgar Wright
141,Edward Zwick
142,Eleanor Coppola
143,Eli Roth
144,Elizabeth Banks
145,Elizabeth Wood
146,Eran Creevy
147,Ericson Core
148,Erik Van Looy
149,Etan Cohen
150,Ethan Coen
151,Evan Goldberg
152,F. Gary Gray
153,Fede Alvarez
154,Florian Henckel von Donnersmarck
155,Francis Lawrence
156,Frank Coraci
157,Frank Darabont
158,Frank Miller
159,François Ozon
160,François Simard
161,Fred Wolf
162,Gabor Csupo
163,Gabriele Muccino
164,Gareth Edwards
165,Garry Marshall
166,Garth Davis
167,Gary Ross
168,Gary Shore
169,Gary Winick
170,Gauri Shinde
171,Gavin Hood
172,Gavin O'Connor
173,Genndy Tartakovsky
174,George Miller
175,George Nolfi
176,George Tillman Jr.
177,Giuseppe Tornatore
178,Glenn Ficarra
179,Gore Verbinski
